certification_number,title
3844273037,Holo Alto Mares Latios 2002 Pokemon Theater Limited VS Pack CGC 8
4024281007,Reverse Holo Pikachu 2002 Pokemon Legendary Collection CGC 9.5
4028221010,Galarian Moltres V 2022 Pokemon Brilliant Stars CGC 9
4028221012,Galarian Articuno V 2021 Pokemon Chilling Reign CGC 9.5
4028221013,Galarian Moltres V 2021 Pokemon Chilling Reign CGC 9
4028221021,Hisuian Samurott V 2022 Pokemon Battle Region CGC 9.5
4028221025,Umbreon Vmax 2021 Pokemon Evolving Skies CGC 8.5
4028221034,Leafeon V 2021 Pokemon Evolving Skies CGC 9.5
4028221042,Reshiram & Charizard GX 2019 Pokemon Unbroken Bonds CGC 9
