certification_number,title
3844273037,2002 Pokemon Theater Limited VS Pack Holo Alto Mares Latios 012/018 CGC 8 NM-MT
4024281007,2002 Pokemon Legendary Collection Reverse Holo Pikachu 86/110 CGC 9.5 Gem Mint
4028221010,2022 Pokemon Brilliant Stars Galarian Moltres V 183/172 CGC 9 Mint
4028221012,2021 Pokemon Chilling Reign Galarian Articuno V 169/198 CGC 9.5 Gem Mint
4028221013,2021 Pokemon Chilling Reign Galarian Moltres V 176/198 CGC 9 Mint
4028221021,2022 Pokemon Battle Region Hisuian Samurott V 078/067 CGC 9.5 Gem Mint
4028221025,2021 Pokemon Evolving Skies Umbreon Vmax 214/203 CGC 8.5 NM-MT+
4028221034,2021 Pokemon Evolving Skies Leafeon V 166/203 CGC 9.5 Gem Mint
4028221042,2019 Pokemon Unbroken Bonds Reshiram & Charizard GX 194/214 CGC 9 Mint
